mean_r,mean_g,mean_b,brightness_mean,brightness_std,label
67.67169270833334,70.46915690104167,73.93107096354167,70.037578125,70.68458926455683,artificial
67.74906901041666,70.527314453125,73.967529296875,70.096875,70.64362187663484,artificial
67.74961263020833,70.63760091145834,74.10781575520834,70.17694986979167,70.59749819855249,artificial
67.90728841145834,70.72490885416667,74.176513671875,70.28272135416667,70.54039639145064,artificial
68.02439778645834,70.83509765625,74.232216796875,70.38885416666666,70.48258989732842,artificial
68.118134765625,70.92943684895833,74.35088541666667,70.48615234375,70.42886683386885,artificial
68.229072265625,71.02700846354166,74.39904622395834,70.58059895833334,70.37653917910961,artificial
68.33400065104166,71.17754231770833,74.59851888020833,70.7226953125,70.30826883029033,artificial
68.49371744791667,71.36402994791666,74.77614583333333,70.89822265625,70.2043802012753,artificial
68.74216145833333,71.6166796875,75.05955403645834,71.153310546875,70.07635499281723,artificial
